Brand,Model,Processor,RAM,Storage,GPU,Operating System,Screen Size,Resolution,Weight (kg),Battery,Warranty,Price (USD),Customer Rating
Razer,Razer Model 618,Intel Core i3,16GB,1TB SSD,NVIDIA GTX 1650,FreeDOS,13.3 inch,2560x1440,2.18,43Wh,3 years,2037,4.7
Razer,Razer Model 171,AMD Ryzen 3,64GB,1TB SSD,NVIDIA RTX 4070,Ubuntu,15.6 inch,2560x1440,1.18,65Wh,1 years,1951,4.2
Acer,Acer Model 491,Intel Core i5,32GB,256GB SSD,NVIDIA GTX 1650,macOS,13.3 inch,2560x1440,3.49,57Wh,1 years,694,3.8
Dell,Dell Model 214,Intel Core i5,4GB,2TB HDD,Intel Iris Xe,Windows 10,13.3 inch,1920x1080,2.55,64Wh,1 years,3207,4.1
LG,LG Model 316,Intel Core i3,32GB,2TB HDD,NVIDIA RTX 4070,Windows 10,16 inch,2560x1440,3.25,67Wh,2 years,1696,3.6
Samsung,Samsung Model 504,AMD Ryzen 7,8GB,1TB SSD,Intel Iris Xe,Ubuntu,17 inch,2560x1440,2.07,97Wh,3 years,959,4.4
HP,HP Model 376,Intel Core i3,8GB,512GB SSD,NVIDIA RTX 3050,Windows 11,16 inch,2560x1440,2.07,97Wh,1 years,2421,4.7
Apple,Apple Model 584,Intel Core i5,8GB,256GB SSD,AMD Radeon RX 6600M,macOS,17 inch,1920x1080,1.21,61Wh,1 years,2489,4.0
Razer,Razer Model 934,AMD Ryzen 9,8GB,256GB SSD,NVIDIA RTX 3060,Windows 10,17 inch,2560x1440,2.44,72Wh,3 years,2487,4.5
Apple,Apple Model 919,Intel Core i7,16GB,1TB HDD,NVIDIA RTX 4070,Ubuntu,17 inch,1920x1080,1.77,45Wh,1 years,3378,4.1
Razer,Razer Model 386,AMD Ryzen 3,64GB,512GB SSD,NVIDIA RTX 3050,Ubuntu,15.6 inch,3840x2160,1.31,45Wh,2 years,2792,4.8
Samsung,Samsung Model 591,AMD Ryzen 7,8GB,2TB HDD,NVIDIA RTX 3060,FreeDOS,16 inch,3840x2160,1.22,58Wh,1 years,599,4.9
Apple,Apple Model 389,Intel Core i3,4GB,2TB SSD,Integrated,Windows 11,17 inch,3840x2160,1.77,43Wh,3 years,757,4.8
Apple,Apple Model 759,Intel Core i7,64GB,1TB SSD,AMD Radeon RX 6600M,Windows 11,17 inch,2560x1440,1.31,79Wh,1 years,1313,4.5
Samsung,Samsung Model 103,Intel Core i7,64GB,1TB SSD,Integrated,Windows 10,14 inch,1920x1080,1.52,48Wh,1 years,1778,4.2
Razer,Razer Model 925,AMD Ryzen 7,32GB,1TB HDD,NVIDIA RTX 3050,Windows 11,17 inch,3840x2160,2.55,91Wh,3 years,1240,4.0
LG,LG Model 490,AMD Ryzen 5,64GB,2TB HDD,Integrated,Ubuntu,16 inch,1920x1080,2.3,53Wh,3 years,846,3.8
Razer,Razer Model 585,AMD Ryzen 3,64GB,1TB HDD,NVIDIA GTX 1650,macOS,16 inch,1920x1080,1.56,75Wh,3 years,549,3.9
Lenovo,Lenovo Model 949,Intel Core i9,4GB,256GB SSD,Integrated,Windows 10,16 inch,2560x1440,2.27,89Wh,1 years,2008,5.0
HP,HP Model 444,AMD Ryzen 3,4GB,2TB HDD,NVIDIA RTX 3050,Windows 11,17 inch,1920x1080,2.3,48Wh,1 years,641,4.7
Dell,Dell Model 264,AMD Ryzen 7,32GB,512GB SSD,NVIDIA RTX 4070,macOS,15.6 inch,1920x1080,3.17,58Wh,3 years,3485,3.9
MSI,MSI Model 856,AMD Ryzen 3,16GB,1TB HDD,NVIDIA RTX 3060,macOS,15.6 inch,1920x1080,2.3,87Wh,3 years,2510,4.3
HP,HP Model 341,Intel Core i5,4GB,2TB SSD,NVIDIA RTX 3050,macOS,17 inch,2560x1440,3.49,75Wh,3 years,896,3.8
MSI,MSI Model 182,Intel Core i9,8GB,1TB HDD,NVIDIA GTX 1650,Ubuntu,14 inch,1920x1080,1.59,78Wh,1 years,1973,4.0
LG,LG Model 593,AMD Ryzen 9,32GB,1TB HDD,NVIDIA RTX 3050,Ubuntu,15.6 inch,3840x2160,3.16,77Wh,2 years,1926,4.3
LG,LG Model 251,AMD Ryzen 9,64GB,512GB SSD,Integrated,Windows 10,17 inch,3840x2160,2.61,42Wh,3 years,1456,4.0
Acer,Acer Model 676,Intel Core i9,64GB,1TB SSD,NVIDIA RTX 4070,FreeDOS,14 inch,2560x1440,1.22,48Wh,2 years,3275,3.8
Acer,Acer Model 359,Intel Core i7,8GB,1TB HDD,Intel Iris Xe,Windows 10,15.6 inch,1920x1080,3.17,95Wh,1 years,2856,4.1
Acer,Acer Model 658,AMD Ryzen 9,4GB,1TB HDD,Intel Iris Xe,Ubuntu,16 inch,2560x1440,1.23,63Wh,3 years,2817,4.9
